WaveTrajectory,PtIndex,Lat,Lon,Time
74,6,14.5127372741699,-22.9910278320313,2000061418
74,7,13.938551902771,-22.5412902832031,2000061421
74,8,13.7361288070679,-22.9232482910156,2000061500
74,9,13.7143898010254,-24.2201538085938,2000061503
74,10,13.3981399536133,-25.5069885253906,2000061506
74,11,12.7594785690308,-26.0714416503906,2000061509
74,12,12.2622804641724,-26.76171875,2000061512
74,13,12.2942934036255,-27.5562744140625,2000061515
74,14,12.0031232833862,-28.1211242675781,2000061518
74,15,11.3819742202759,-28.8370056152344,2000061521
74,16,10.6953630447388,-29.7149353027344,2000061600
74,17,10.1721868515015,-30.4518127441406,2000061603
74,18,9.85572624206543,-31.3267517089844,2000061606
74,19,9.86418914794922,-32.0580749511719,2000061609
74,20,10.0798969268799,-32.8491821289063,2000061612
74,21,9.77173519134521,-33.7577514648438,2000061615
74,22,9.59839725494385,-34.5053100585938,2000061618
74,23,9.30443286895752,-35.2108459472656,2000061621
74,24,9.00701427459717,-35.6656799316406,2000061700
74,25,8.79318237304688,-36.2704467773438,2000061703
74,26,8.61140823364258,-36.8383483886719,2000061706
74,27,8.35118770599365,-37.4396057128906,2000061709
74,28,8.17679691314697,-37.9429626464844,2000061712
74,29,8.35189723968506,-38.8262329101563,2000061715
74,30,8.44820213317871,-39.599609375,2000061718
74,31,7.75710916519165,-40.4000549316406,2000061721
74,32,7.25781917572021,-41.0153503417969,2000061800
74,33,7.17926597595215,-41.4538269042969,2000061803
75,13,25.1869621276855,-30.2527770996094,2000061609
75,14,24.4273090362549,-30.6194458007813,2000061612
75,15,23.8073806762695,-31.4884948730469,2000061615
75,16,24.3297119140625,-33.0218811035156,2000061618
75,17,24.4310607910156,-34.0241394042969,2000061621
75,18,23.8434162139893,-34.6239318847656,2000061700
75,19,23.3672771453857,-35.7627868652344,2000061703
75,20,22.7779407501221,-36.4271850585938,2000061706
75,21,22.0854187011719,-36.7132568359375,2000061709
75,22,21.8147125244141,-37.6866455078125,2000061712
75,23,21.5398750305176,-38.5078430175781,2000061715
75,24,21.606517791748,-39.8345947265625,2000061718
75,25,21.2362060546875,-40.25,2000061721
75,26,20.9979228973389,-41.1787109375,2000061800
75,27,20.4489479064941,-42.001220703125,2000061803
75,28,19.831974029541,-42.9811706542969,2000061806
75,29,19.5037479400635,-43.6648559570313,2000061809
75,30,19.1594429016113,-44.4619140625,2000061812
77,13,17.8895893096924,-19.853515625,2000061803
77,14,17.77614402771,-20.2409362792969,2000061806
77,15,17.7550163269043,-20.5923461914063,2000061809
77,16,17.467399597168,-21.6408386230469,2000061812
77,17,17.6051559448242,-22.7970886230469,2000061815
77,18,17.9465770721436,-23.8594665527344,2000061818
77,19,16.4280090332031,-24.4583435058594,2000061821
77,20,16.1376190185547,-25.2835388183594,2000061900
77,21,15.9380111694336,-26.1218566894531,2000061903
86,2,9.36592960357666,-20.1437377929688,2000062518
86,3,9.74310398101807,-21.1111145019531,2000062521
86,4,10.2466049194336,-22.0418701171875,2000062600
86,5,10.7881088256836,-22.4775695800781,2000062603
86,6,11.2441520690918,-23.3369445800781,2000062606
86,7,11.6835889816284,-24.3026428222656,2000062609
86,8,11.4445295333862,-24.5743103027344,2000062612
86,9,10.980393409729,-25.1268005371094,2000062615
86,10,10.6259155273438,-26.0583190917969,2000062618
86,11,10.5422191619873,-26.6380310058594,2000062621
86,12,10.4021472930908,-27.2698364257813,2000062700
86,13,9.91068553924561,-28.2623291015625,2000062703
86,14,9.67899513244629,-29.7440490722656,2000062706
86,15,9.83708095550537,-30.6486511230469,2000062709
86,16,10.1105012893677,-31.3792114257813,2000062712
86,17,10.1287784576416,-32.5470581054688,2000062715
86,18,10.2130470275879,-33.5133666992188,2000062718
86,19,10.7285242080688,-33.9058227539063,2000062721
86,20,10.7658987045288,-34.2459411621094,2000062800
89,3,18.1141662597656,-19.8857727050781,2000062900
89,4,17.5293636322021,-20.7447204589844,2000062903
89,5,16.9334697723389,-21.4319152832031,2000062906
89,6,16.3531818389893,-21.9961547851563,2000062909
89,7,16.0618553161621,-22.9055480957031,2000062912
89,8,16.0549011230469,-24.0498046875,2000062915
89,9,16.1606521606445,-25.3483581542969,2000062918
89,10,16.2715473175049,-26.6343688964844,2000062921
89,11,16.2878551483154,-27.9000854492188,2000063000
89,12,16.1106967926025,-29.221923828125,2000063003
89,13,15.3439874649048,-30.90478515625,2000063006
89,14,14.7105159759521,-32.1815185546875,2000063009
89,15,13.8994045257568,-33.4947814941406,2000063012
89,16,14.754337310791,-34.2624816894531,2000063015
89,17,15.4916830062866,-35.3188171386719,2000063018
89,18,16.0487937927246,-36.5567321777344,2000063021
91,0,7.83659601211548,-38.2380676269531,2000063009
91,1,7.52123308181763,-39.9065551757813,2000063012
91,2,7.35565996170044,-41.106689453125,2000063015
91,3,7.64431476593018,-41.93359375,2000063018
91,4,7.6222071647644,-42.8941345214844,2000063021
91,5,7.5214729309082,-43.8709106445313,2000070100
91,6,7.88100481033325,-44.4611511230469,2000070103
91,7,7.76806116104126,-45.0325622558594,2000070106
91,8,8.06976890563965,-45.6188354492188,2000070109
91,9,8.02307415008545,-46.6809692382813,2000070112
91,10,8.36917209625244,-47.5641784667969,2000070115
91,11,8.85044002532959,-48.6015625,2000070118
91,12,9.07711505889893,-49.7775268554688,2000070121
91,13,9.03497505187988,-50.7413330078125,2000070200
91,14,8.67800998687744,-51.6547546386719,2000070203
91,15,8.41219139099121,-52.7745361328125,2000070206
91,16,8.10351657867432,-54.4458312988281,2000070209
91,17,8.04723834991455,-55.8148803710938,2000070212
91,18,7.76376295089722,-56.861572265625,2000070215
91,19,7.72221708297729,-57.5776062011719,2000070218
91,20,9.04315090179443,-58.2771911621094,2000070221
91,21,9.23042869567871,-59.2168273925781,2000070300
92,0,14.6815881729126,-28.1798095703125,2000063015
